PLATE,SOURCE,TIME
TK8705106,webcam,2026-05-19 22:27:51
TM8705106,webcam,2026-05-19 22:27:52
TN8705106,webcam,2026-05-19 22:27:52
TN8705106,webcam,2026-05-19 22:27:52
TK8705106,webcam,2026-05-19 22:27:52
TM8705106,webcam,2026-05-19 22:27:52
TH8705106,webcam,2026-05-19 22:27:53
TN8705106,webcam,2026-05-19 22:27:53
TU8705106,webcam,2026-05-19 22:27:53
TM8705106,webcam,2026-05-19 22:27:53
TH8705106,webcam,2026-05-19 22:27:53
TM8705106,webcam,2026-05-19 22:27:53
TN8705106,webcam,2026-05-19 22:27:54
TM8705106,webcam,2026-05-19 22:27:54
TK8705106,webcam,2026-05-19 22:27:54
TN8705106,webcam,2026-05-19 22:27:54
TN8705106,webcam,2026-05-19 22:27:54
TN8705106,webcam,2026-05-19 22:27:55
TM875406,webcam,2026-05-19 22:27:55
TN8705106,webcam,2026-05-19 22:27:55
TM8705106,webcam,2026-05-19 22:27:55
TM8705106,webcam,2026-05-19 22:27:55
TM8705106,webcam,2026-05-19 22:27:55
TN8705106,webcam,2026-05-19 22:27:56
TM8705106,webcam,2026-05-19 22:27:56
TN875106,webcam,2026-05-19 22:27:56
TN8705106,webcam,2026-05-19 22:27:56
TN8705106,webcam,2026-05-19 22:27:56
TH8705106,webcam,2026-05-19 22:27:56
TH8705106,webcam,2026-05-19 22:27:57
TH8705106,webcam,2026-05-19 22:27:57
TN8705106,webcam,2026-05-19 22:27:57
TN8705106,webcam,2026-05-19 22:27:57
TH8705106,webcam,2026-05-19 22:27:57
TN8705106,webcam,2026-05-19 22:27:58
TN8705106,webcam,2026-05-19 22:27:58
TN8705106,webcam,2026-05-19 22:27:58
TM8705406,webcam,2026-05-19 22:27:58
TM8705106,webcam,2026-05-19 22:27:58
TN8705106,webcam,2026-05-19 22:27:58
TK8705106,webcam,2026-05-19 22:27:59
TH8705106,webcam,2026-05-19 22:27:59
TH8705106,webcam,2026-05-19 22:27:59
TH8705106,webcam,2026-05-19 22:27:59
TH8705106,webcam,2026-05-19 22:27:59
TH8705106,webcam,2026-05-19 22:28:00
TH8705106,webcam,2026-05-19 22:28:00
TN8705106,webcam,2026-05-19 22:28:00
TH8705106,webcam,2026-05-19 22:28:00
TN875106,webcam,2026-05-19 22:28:00
TH8705106,webcam,2026-05-19 22:28:01
TN8705106,webcam,2026-05-19 22:28:01
TN8705106,webcam,2026-05-19 22:28:01
TH8705106,webcam,2026-05-19 22:28:01
TU8705106,webcam,2026-05-19 22:28:01
TN8705106,webcam,2026-05-19 22:28:01
THE8705106,webcam,2026-05-19 22:28:02
TN8705106,webcam,2026-05-19 22:28:02
TN8705106,webcam,2026-05-19 22:28:02
TN8705106,webcam,2026-05-19 22:28:02
TN8705106,webcam,2026-05-19 22:28:02
TH8705106,webcam,2026-05-19 22:28:02
TH8705106,webcam,2026-05-19 22:28:03
TH8705106,webcam,2026-05-19 22:28:03
TN8705106,webcam,2026-05-19 22:28:03
TN8705106,webcam,2026-05-19 22:28:03
TM8705106,webcam,2026-05-19 22:28:03
TN8705106,webcam,2026-05-19 22:28:03
TN8705106,webcam,2026-05-19 22:28:04
TN8705106,webcam,2026-05-19 22:28:04
TH8705106,webcam,2026-05-19 22:28:04
TH8705106,webcam,2026-05-19 22:28:04
TH8705106,webcam,2026-05-19 22:28:04
TH8705106,webcam,2026-05-19 22:28:05
TH8705106,webcam,2026-05-19 22:28:05
TN8705106,webcam,2026-05-19 22:28:05
TK8705106,webcam,2026-05-19 22:28:05
TH8705106,webcam,2026-05-19 22:28:05
TK8710E1DE,webcam,2026-05-19 22:28:05
TN875106,webcam,2026-05-19 22:28:06
T8705106,webcam,2026-05-19 22:28:06
T8705106,webcam,2026-05-19 22:28:06
TM8705106,webcam,2026-05-19 22:28:06
TN875106,webcam,2026-05-19 22:28:06
TN8705106,webcam,2026-05-19 22:28:06
TM8705106,webcam,2026-05-19 22:28:07
TH8705406,webcam,2026-05-19 22:28:07
TN8705106,webcam,2026-05-19 22:28:07
TH8705106,webcam,2026-05-19 22:28:07
TH8705106,webcam,2026-05-19 22:28:07
TH8705106,webcam,2026-05-19 22:28:07
TH8705106,webcam,2026-05-19 22:28:08
TH8705106,webcam,2026-05-19 22:28:08
TH8705106,webcam,2026-05-19 22:28:08
TK8705106,webcam,2026-05-19 22:28:08
TN8705106,webcam,2026-05-19 22:28:08
TH8705106,webcam,2026-05-19 22:28:08
TH8705106,webcam,2026-05-19 22:28:09
TN8705106,webcam,2026-05-19 22:28:09
TU8705106,webcam,2026-05-19 22:28:09
TN8705106,webcam,2026-05-19 22:28:09
TN8705106,webcam,2026-05-19 22:28:09
TH8705106,webcam,2026-05-19 22:28:10
TH8705106,webcam,2026-05-19 22:28:10
TH8705106,webcam,2026-05-19 22:28:10
TH8705106,webcam,2026-05-19 22:28:10
TH8705106,webcam,2026-05-19 22:28:10
TN8705106,webcam,2026-05-19 22:28:11
TN8705106,webcam,2026-05-19 22:28:11
TH8705106,webcam,2026-05-19 22:28:11
TN8705106,webcam,2026-05-19 22:28:11
TH8705106,webcam,2026-05-19 22:28:11
TN875106,webcam,2026-05-19 22:28:11
TN8705106,webcam,2026-05-19 22:28:12
TN8705106,webcam,2026-05-19 22:28:12
TN8705106,webcam,2026-05-19 22:28:12
TH8705106,webcam,2026-05-19 22:28:12
TN8705106,webcam,2026-05-19 22:28:12
TH8705106,webcam,2026-05-19 22:28:12
TM8705106,webcam,2026-05-19 22:28:13
TN875106,webcam,2026-05-19 22:28:13
TM8705106,webcam,2026-05-19 22:28:13
TU8705106,webcam,2026-05-19 22:28:13
TU8705106,webcam,2026-05-19 22:28:13
TM8705406,webcam,2026-05-19 22:28:13
TM875106,webcam,2026-05-19 22:28:13
TN8705106,webcam,2026-05-19 22:28:14
TM8705106,webcam,2026-05-19 22:28:14
TN8705106,webcam,2026-05-19 22:28:14
TN875106,webcam,2026-05-19 22:28:14
TN8705106,webcam,2026-05-19 22:28:14
TN875106,webcam,2026-05-19 22:28:14
TM8705106,webcam,2026-05-19 22:28:15
TH875106,webcam,2026-05-19 22:28:15
TM875106,webcam,2026-05-19 22:28:15
TM8705106,webcam,2026-05-19 22:28:15
TH875106,webcam,2026-05-19 22:28:15
TN875106,webcam,2026-05-19 22:28:15
TH8705106,webcam,2026-05-19 22:28:15
TN8705106,webcam,2026-05-19 22:28:16
TH8705106,webcam,2026-05-19 22:28:16
TM8705106,webcam,2026-05-19 22:28:16
TN875106,webcam,2026-05-19 22:28:16
TM875106,webcam,2026-05-19 22:28:16
TM8705106,webcam,2026-05-19 22:28:16
TH8705106,webcam,2026-05-19 22:28:16
TN875106,webcam,2026-05-19 22:28:17
TM8705106,webcam,2026-05-19 22:28:17
TN8705106,webcam,2026-05-19 22:28:17
TN8705106,webcam,2026-05-19 22:28:17
TM875106,webcam,2026-05-19 22:28:17
TN8705106,webcam,2026-05-19 22:28:17
TM8705106,webcam,2026-05-19 22:28:18
TM8705106,webcam,2026-05-19 22:28:18
TH875106,webcam,2026-05-19 22:28:18
TM8705106,webcam,2026-05-19 22:28:18
